,date,name,title_text,content_text,link
0,27.dez.2023 às 10h11,Folha de S.Paulo - Cotidiano,Criança de um ano é baleada por PM com munição de plástico em São Paulo,"Ainda segundo ele, no mínimo haveria dolo (crime) eventual, porque um policial com conhecimento técnico saberia que o disparo, mesmo de munição não letal, contra uma moto, poderia causar um acidente ...",https://www1.folha.uol.com.br/cotidiano/2023/12/crianca-de-um-ano-e-baleada-por-pm-com-municao-de-plastico-em-sao-paulo.shtml
1,17.set.2023 às 21h40,Folha de S.Paulo - Cotidiano,Deputada do RS é agredida com spray de pimenta pela Guarda Municipal,OUTRO LADO: Prefeitura de Porto Alegre promete apurar caso e confirma uso de munição não letal em ocupação no centro A deputada estadual gaúcha Laura Sito (PT) denunciou agressão pela Guarda ...,https://www1.folha.uol.com.br/cotidiano/2023/09/deputada-do-rs-e-agredida-com-spray-de-pimenta-pela-guarda-municipal.shtml
2,3.set.2023 às 21h10,Folha de S.Paulo - Mundo,"Quem foi Vasili Arkhipov, homem que salvou o mundo de guerra nuclear","""O encouraçado começou a disparar munição não letal, para fazer com que o submarino viesse à superfície"", explica Wilson. ...",https://www1.folha.uol.com.br/mundo/2023/09/quem-foi-vasili-arkhipov-homem-que-salvou-o-mundo-de-guerra-nuclear.shtml
3,9.jun.2023 às 4h02,Folha de S.Paulo - Poder,Violência policial alavancou Junho de 2013 e pavimentou empoderamento militar,"Dessa vez, a corporação estava com maior estoque de munição não letal e exoesqueletos estilo Robocop. ...",https://www1.folha.uol.com.br/poder/2023/06/violencia-policial-alavancou-junho-de-2013-e-pavimentou-empoderamento-militar.shtml
4,15.fev.2023 às 19h42,Folha de S.Paulo - Cotidiano,Ação da polícia na cracolândia mantém modelo semelhante ao da gestão anterior,"Policiais civis chegaram pela alameda Barão de Limeira e entraram pela rua dos Gusmões, enquanto os guardas, munidos de escudos e munição não letal, partiram da rua Conselheiro Nébias, na altura ...",https://www1.folha.uol.com.br/cotidiano/2023/02/acao-da-policia-na-cracolandia-mantem-modelo-semelhante-ao-da-gestao-anterior.shtml
5,31.mai.2022 às 16h11,Folha de S.Paulo - Cotidiano,Policial investigado por matar usuário de drogas diz ter atirado após ameaças,"Antes, ele relatou que seu colega, o investigador Oswaldo José Sodré Ley Rangel, tentou conter a multidão ao efetuar seis disparos com uma espingarda calibre 12 mm de munição não letal. ...",https://www1.folha.uol.com.br/cotidiano/2022/05/policial-investigado-por-matar-usuario-de-drogas-diz-ter-atirado-apos-ameacas.shtml
6,2.mar.2022 às 15h16,Folha de S.Paulo - Cotidiano,Cozinheiro é morto após jogar carro contra guardas em São Paulo; veja vídeo,"Em depoimento à Polícia Civil, os guardas afirmaram primeiramente ter atirado com munição não letal. ...",https://www1.folha.uol.com.br/cotidiano/2022/03/cozinheiro-e-morto-apos-jogar-carro-contra-guardas-em-sao-paulo.shtml
7,2.mar.2022 às 12h45,Ao Vivo - Mundo,Protesto contra vacina na Nova Zelândia termina em confronto e prisões,Os agentes reagiram com munição não letal e spray de pimenta. ...,https://aovivo.folha.uol.com.br/mundo/2022/01/11/6098-acompanhe-as-informacoes-sobre-a-pandemia-de-coronavirus-no-mundo.shtml#post413622
8,13.abr.2021 às 11h07,Folha de S.Paulo - Mundo,Agente e chefe de polícia nos EUA renunciam após morte de homem negro,não letal. ...,https://www1.folha.uol.com.br/mundo/2021/04/policia-prende-mais-de-50-em-2a-noite-de-protestos-apos-morte-de-homem-negro-nos-eua.shtml
9,22.jul.2020 às 19h12,Folha de S.Paulo - Mundo,Trump anuncia envio de tropas para conter protestos violentos em mais 3 cidades,não letal pelos agentes federais. ...,https://www1.folha.uol.com.br/mundo/2020/07/manifestantes-e-forcas-federais-voltam-a-se-enfrentar-em-portland.shtml
10,2.jun.2020 às 5h00,Folha de S.Paulo - Podcasts,Colunista fala sobre violência policial e atos antirracistas nos EUA; ouça,"Em meio aos atos, viaturas e edifícios foram incendiados e lojas foram saqueadas, e as autoridades reprimiram as manifestações usando bombas de efeito moral e munição não letal. ...",https://www1.folha.uol.com.br/podcasts/2020/06/colunista-fala-sobre-violencia-policial-e-atos-antirracistas-nos-eua-ouca.shtml
11,27.fev.2020 às 21h28,Folha de S.Paulo - Cotidiano,Tribunal determina novas diligências sobre mortes de jovens em Paraisópolis,"Parte do público também teria tentado atacar os policiais militares, sendo necessário, segundo a versão dos policiais, o uso de munição não letal (como bombas de efeito moral, balas de borracha ...",https://www1.folha.uol.com.br/cotidiano/2020/02/tribunal-determina-novas-diligencias-sobre-mortes-de-jovens-em-paraisopolis.shtml
12,7.fev.2020 às 18h27,Folha de S.Paulo - Cotidiano,PM de SP considera lícita a ação em Paraisópolis que terminou com 9 mortos,"Parte do público também teria tentado atacar os policiais militares, sendo necessário, segundo a versão dos policiais, o uso de munição não letal (como bombas de efeito moral, balas de borracha ...",https://www1.folha.uol.com.br/cotidiano/2020/02/pm-de-sp-considera-licita-a-acao-em-paraisopolis-que-terminou-com-9-mortos.shtml
13,16.jan.2020 às 2h00,Folha de S.Paulo - Cotidiano,Gestão Doria usa detenções e lei mais dura para sufocar protestos em São Paulo,"Segundo o professor, a tática afasta pessoas que têm receio de estarem presas em um ambiente no qual a polícia utiliza com frequência munição não letal e bombas de gás contra os manifestantes ...",https://www1.folha.uol.com.br/cotidiano/2020/01/gestao-doria-usa-detencoes-e-lei-mais-dura-para-sufocar-protestos-em-sao-paulo.shtml
